Top250	20	Little Caesars	The third-largest pizza chain's self-service, heated Pizza Portals have helped it stay competitive in the carryout-pizza sector. And in January, Little Caesars made its return to the delivery space, partnering with DoorDash to deliver pies for "at least $5 less" than its competitors.	3811	2.7%	4237	-0.6%	NA	Quick Service & Pizza
Top250	242	Biggby Coffee	NA	129	3.8%	240	0.8%	NA	Coffee Cafe
Top250	3	Chick-fil-A	While Popeyes got a lot of the chicken buzz in 2019, Chick-fil-A had a busy year in its own right. On top of passing Taco Bell and Subway to become the nation's third-largest chain, it introduced dine-in mobile ordering, eliminated antibiotics from its chicken and added its first new permanent menu item in three years: mac and cheese.	11320	13.0%	2470	5.0%	NA	Quick Service & Chicken
Top250	43	Carl's Jr.	NA	1423	-2.5%	1095	-2.3%	NA	Quick Service & Burger
Top250	64	Cheddar's Scratch Kitchen	NA	724	0.6%	175	2.9%	NA	Casual Dining & Varied Menu
Top250	176	Firebirds Wood Fired Grill	NA	192	7.4%	51	6.3%	NA	Varied Menu
Top250	89	Portillo's	NA	505	12.2%	62	8.8%	NA	Fast Casual & Sandwich
Top250	141	Pizza Ranch	NA	269	7.3%	212	2.9%	Orange City, IA	Pizza
Top250	130	Village Inn	NA	313	-7.9%	183	-9.0%	Denver, CO	Family Style
Top250	163	Sbarro	NA	218	-4.0%	300	-2.6%	NA	Pizza
Top250	58	Firehouse Subs	NA	832	4.8%	1155	1.9%	NA	Fast Casual & Sandwich
Top250	83	Perkins Restaurant & Bakery	After its parent company filed for Chapter 11 protection in August, the struggling family-dining chain was scooped up by Huddle House for $51.5 million. Its new owner said it had no plans to convert Perkins units into Huddle Houses or vice versa.	541	-9.5%	309	-13.0%	NA	Family Dining & Family Style
Top250	113	Blaze Pizza	NA	366	12.4%	313	5.7%	Pasadena, CA	Pizza
Top250	52	P.F. Chang's	NA	917	1.4%	221	0.0%	NA	Casual Dining & Asian
Top250	70	Marco's Pizza	NA	628	4.8%	915	3.6%	NA	Quick Service & Pizza
Top250	21	Dairy Queen	NA	3760	2.9%	4381	-0.6%	NA	Quick Service & Frozen Desserts
Top250	17	Panda Express	Panda Express has quietly established itself as a fast-casual stalwart, posting another year of double-digit sales growth (12%). "They continue to have just strong year after strong year, and there's never any competition in their segment," said Schimpf.	3946	12.0%	2209	4.9%	NA	Fast Casual & Asian/Noodle
Top250	112	Cold Stone Creamery	NA	369	-2.3%	895	-0.9%	Scottsdale, AZ	Frozen Desserts
Top250	120	Cooper's Hawk Winery & Restaurants	NA	338	19.9%	41	17.1%	Countryside, IL	Varied Menu
Top250	204	Smokey Bones Bar & Fire Grill	New CEO James O'Reilly, hired in May, plans to overhaul the barbecue chain's menu this year, disposing of items such as fish and chips and getting back to the basics with house-smoked barbecue, steaks and burgers. It will also focus more on the bar, with an emphasis on craft beer and cocktails.	168	-1.3%	61	-3.2%	NA	BBQ
Top250	132	Fleming's Prime Steakhouse & Wine Bar	NA	307	1.0%	68	-2.9%	Tampa, FL	Steak
Top250	14	KFC	NA	4546	2.5%	4065	-0.2%	NA	Quick Service & Chicken
Top250	74	Yard House	NA	609	6.6%	79	9.7%	NA	Casual Dining & Varied Menu
